"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros"
"*046c7*","Freddie Ladapo","IPS","F","572","FA","LIV Sat 7:30AM","0","0","0%","1111.8","0%"
"*06igq*","Benjamin Fredrick","BRF","D","509","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
"*063u9*","Remo Freuler","NOT","M","510","FA","BOU Sat 10:00AM","0","0","0%","-","0%"
"*051k8*","Conor Gallagher","CHE","M","511","FA","MCI Sun 11:30AM","0","0","68%","102.49","56%"
"*06igy*","Joe Gardner","NOT","F","513","FA","BOU Sat 10:00AM","0","0","0%","1153.8","0%"
"*06jgt*","Joe Gauci","AVL","G","514","FA","@WHU Sat 12:30PM","0","0","0%","-","0%"
"*06l4i*","Tyrique George","CHE","F","515","FA","MCI Sun 11:30AM","0","0","0%","-","0%"
"*05n09*","Mark Gillespie","NEW","G","516","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06nbs*","Harvey Godsmark-Ford","LEI","M","517","FA","TOT Mon 3:00PM","0","0","0%","1173.8","0%"
"*06igr*","Michael Golding","LEI","M","518","FA","TOT Mon 3:00PM","0","0","0%","1116.8","0%"
"*063e8*","Goncalo Guedes","WOL","F","512","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*06fwo*","Enso Gonzalez","WOL","F","519","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*05uhl*","Kaide Gordon","LIV","F","520","FA","@IPS Sat 7:30AM","0","0","0%","-","0%"
"*066rn*","Daniel Gore","MUN","M","521","W (Tue)","FUL Fri 3:00PM","0","0","0%","1121.8","0%"
"*066rj*","Sean Grehan","CRY","D","522","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*062z6*","Harvey Griffiths","WOL","M","523","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*06exj*","Luca Gunter","TOT","G","524","FA","@LEI Mon 3:00PM","0","0","0%","-","0%"
"*06lvm*","Tyrese Hall","TOT","M","525","FA","@LEI Mon 3:00PM","0","0","0%","-","0%"
"*06h1g*","Aidan Harris","NEW","G","526","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06ids*","Adam Harrison","NEW","G","527","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06nv5*","Alfie Harrison","NEW","M","528","FA","SOU Sat 10:00AM","0","0","0%","1154","0%"
"*04qr4*","Kortney Hause","AVL","D","529","FA","@WHU Sat 12:30PM","0","0","0%","-","0%"
"*035mq*","Isaac Hayden","NEW","M","530","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06nyv*","Chanse Headman","BRF","D","531","FA","CRY Sun 9:00AM","0","0","0%","1050","0%"
"*03dwz*","Tom Heaton","MUN","G","532","FA","FUL Fri 3:00PM","0","0","1%","1084.9","1%"
"*06nv4*","Cathal Heffernan","NEW","D","533","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*05oz4*","Karl Hein","ARS","G","534","FA","WOL Sat 10:00AM","0","0","1%","1093.05","0%"
"*06jfq*","Travis Hernes","NEW","M","535","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06nyx*","Finlay Herrick","WHU","G","536","FA","AVL Sat 12:30PM","0","0","0%","1114","0%"
"*06nlc*","Reigan Heskey","MCI","F","537","FA","@CHE Sun 11:30AM","0","0","0%","1150.4","0%"
"*062z5*","Joseph Hodge","WOL","M","538","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*04yjx*","Ki-Jana Hoever","WOL","D","539","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*044nm*","Rob Holding","CRY","D","540","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*03v6s*","Mason Holgate","EVE","D","541","FA","BHA Sat 10:00AM","0","0","0%","-","0%"
"*06mww*","Isaac Holland","BRF","M","542","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
"*06kx6*","Fletcher Holman","WOL","F","543","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*06ib4*","Justin Hubner","WOL","D","544","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*04f6o*","Will Hughes","CRY","M","545","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*066sh*","Bashir Humphreys","CHE","D","546","FA","MCI Sun 11:30AM","0","0","0%","1106.1","0%"
"*06mg4*","Cameron Humphreys","IPS","M","547","FA","LIV Sat 7:30AM","0","0","0%","1054.8","0%"
"*06exf*","James Huntley","NEW","M","548","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06cm9*","Hwang Ui-Jo","NOT","F","549","FA","BOU Sat 10:00AM","0","0","0%","1103.8","0%"
"*06mnb*","Samuel Iling-Junior","AVL","F","550","FA","@WHU Sat 12:30PM","0","0","1%","1093.4","1%"
"*06kyx*","Andy Irving","WHU","M","551","FA","AVL Sat 12:30PM","0","0","0%","-","0%"
"*052i5*","Daniel Iversen","LEI","G","552","FA","TOT Mon 3:00PM","0","0","0%","-","0%"
"*052ce*","Vitezslav Jaros","LIV","G","553","FA","@IPS Sat 7:30AM","0","0","0%","-","0%"
"*06nva*","Mofe Jemide","CRY","D","554","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*0570n*","Joao Cancelo","MCI","D","467","FA","@CHE Sun 11:30AM","0","0","5%","366.84","4%"
"*04tsc*","Joao Virginia","EVE","G","609","FA","BHA Sat 10:00AM","0","0","0%","1074.6","1%"
"*064a2*","Juan Larios","SOU","D","574","FA","@NEW Sat 10:00AM","0","0","0%","-","0%"
"*062cl*","Issa Kabore","MCI","D","555","W (Tue)","@CHE Sun 11:30AM","0","0","1%","1117","1%"
"*06492*","Sasa Kalajdzic","WOL","F","556","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*0327r*","Michael Keane","EVE","D","557","FA","BHA Sat 10:00AM","0","0","0%","-","1%"
"*045ob*","Caoimhin Kelleher","LIV","G","558","FA","@IPS Sat 7:30AM","0","0","1%","1114.03","2%"
"*06nyz*","Patrick Kelly","WHU","M","559","FA","AVL Sat 12:30PM","0","0","0%","-","0%"
"*06dpv*","Omari Kellyman","CHE","M","560","FA","MCI Sun 11:30AM","0","0","0%","-","1%"
"*04u40*","Kepa","CHE","G","434","FA","MCI Sun 11:30AM","0","0","0%","1057.8","1%"
"*06igt*","Aaron Keto-Diyawa","WOL","D","561","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*057a1*","Gavin Kilkenny","BOU","M","562","FA","@NOT Sat 10:00AM","0","0","0%","-","0%"
"*06dpw*","Ji-Soo Kim","BRF","D","563","FA","CRY Sun 9:00AM","0","0","0%","1083.8","0%"
"*06cmt*","Tom King","WOL","G","564","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*068z2*","Max Kinsey-Wellings","BOU","D","565","FA","@NOT Sat 10:00AM","0","0","0%","-","0%"
"*06nz0*","Gideon Kodua","WHU","F","566","FA","AVL Sat 12:30PM","0","0","0%","-","0%"
"*06ils*","Yunus Konak","BRF","M","567","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
"*06do4*","Louie Koumas","LIV","F","568","FA","@IPS Sat 7:30AM","0","0","0%","1078.2","0%"
"*06nvb*","Caleb Kporha","CRY","D","569","FA","@BRF Sun 9:00AM","0","0","0%","1181.4","0%"
"*05746*","Emil Krafth","NEW","D","570","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*067yw*","Garang Kuol","NEW","F","571","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*066t2*","Will Lankshear","TOT","F","573","FA","@LEI Mon 3:00PM","0","0","0%","-","0%"
"*051kd*","Jamal Lewis","NEW","D","575","FA","SOU Sat 10:00AM","0","0","0%","1092.8","0%"
"*061z6*","Mateusz Lis","SOU","G","576","FA","@NEW Sat 10:00AM","0","0","0%","-","0%"
"*0574a*","Giovani Lo Celso","TOT","M","577","FA","@LEI Mon 3:00PM","0","0","1%","1126.5","1%"
"*02m7x*","Romelu Lukaku","CHE","F","578","FA","MCI Sun 11:30AM","0","0","3%","391.39","2%"
"*03dyr*","Joe Lumley","SOU","G","579","FA","@NEW Sat 10:00AM","0","0","0%","1149.8","0%"
"*04tsf*","Paris Maghoma","BRF","M","580","FA","CRY Sun 9:00AM","0","0","0%","1066.6","0%"
"*05xts*","Wanya Marcal-Madivadua","LEI","M","581","FA","TOT Mon 3:00PM","0","0","0%","1038.1","0%"
"*05uem*","Marcelo Pitaluga","LIV","G","695","FA","@IPS Sat 7:30AM","0","0","0%","1176.4","0%"
"*06kz9*","Roshaun Mathurin","CRY","F","582","FA","@BRF Sun 9:00AM","0","0","0%","1097.4","0%"
"*06gxa*","Alex Matos","CHE","F","583","FA","MCI Sun 11:30AM","0","0","0%","-","0%"
"*05ubh*","Remi Matthews","CRY","G","584","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*056mf*","Neal Maupay","EVE","F","585","FA","BHA Sat 10:00AM","0","0","0%","1144.1","1%"
"*06igf*","Adrian Mazilu","BHA","F","586","FA","@EVE Sat 10:00AM","0","0","0%","-","0%"
"*03pih*","Kevin Mbabu","FUL","D","587","FA","@MUN Fri 3:00PM","0","0","0%","-","0%"
"*05uhs*","James Mcatee","MCI","M","591","FA","@CHE Sun 11:30AM","0","0","3%","398.59","4%"
"*06do3*","James McConnell","LIV","M","588","FA","@IPS Sat 7:30AM","0","0","0%","1124.8","0%"
"*06ivf*","Jamie McDonnell","NOT","M","589","FA","BOU Sat 10:00AM","0","0","0%","-","0%"
"*06mwx*","Conor McManus","BRF","M","590","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
"*06mgk*","Jayden Meghoma","SOU","D","592","FA","@NEW Sat 10:00AM","0","0","0%","-","0%"
"*05t6y*","Hannibal Mejbri","MUN","M","593","FA","FUL Fri 3:00PM","0","0","0%","-","0%"
"*06idw*","Jenson Metcalfe","EVE","M","594","FA","BHA Sat 10:00AM","0","0","0%","-","0%"
"*061y9*","Alex Mighten","NOT","F","595","FA","BOU Sat 10:00AM","0","0","0%","-","0%"
"*06ex0*","Jamie Miley","NEW","M","596","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06c6g*","Yankuba Minteh","BHA","F","597","FA","@EVE Sat 10:00AM","0","0","58%","120.71","66%"
"*06lox*","Mikey Moore","TOT","M","598","FA","@LEI Mon 3:00PM","0","0","2%","1074.95","2%"
"*06mwz*","Iwan Morgan","BRF","F","600","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
"*05uhk*","Tyler Morton","LIV","M","601","FA","@IPS Sat 7:30AM","0","0","0%","-","0%"
"*06on6*","Anthony Munda","NEW","M","602","W (Tue)","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06ewy*","Alex Murphy","NEW","D","603","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06kud*","Amara Nallo","LIV","M","604","FA","@IPS Sat 7:30AM","0","0","0%","-","0%"
"*06exi*","Michael Ndiweni","NEW","F","605","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06kyv*","Kosta Nedeljkovic","AVL","D","606","FA","@WHU Sat 12:30PM","0","0","1%","1065.88","1%"
"*05qz9*","Ben Nelson","LEI","D","607","FA","TOT Mon 3:00PM","0","0","0%","-","0%"
"*04ge8*","Reiss Nelson","ARS","F","608","FA","WOL Sat 10:00AM","0","0","1%","1122.49","2%"
"*06hze*","Treymaurice Nyoni","LIV","M","610","FA","@IPS Sat 7:30AM","0","0","0%","-","1%"
"*05vyg*","Odeluga Offiah","BHA","D","612","FA","@EVE Sat 10:00AM","0","0","0%","1052.8","0%"
"*06l53*","Temple Ojinnaka","WOL","M","613","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*06kum*","Wesley Okoduwa","WOL","D","614","FA","@ARS Sat 10:00AM","0","0","0%","1116.8","0%"
"*05osa*","Robin Olsen","AVL","G","615","FA","@WHU Sat 12:30PM","0","0","0%","-","1%"
"*068yp*","Paul Onuachu","SOU","F","616","FA","@NEW Sat 10:00AM","0","0","0%","-","0%"
"*067x8*","Nico O'Reilly","MCI","M","611","W (Tue)","@CHE Sun 11:30AM","0","0","0%","-","0%"
"*066iz*","Lewis Orford","WHU","M","617","FA","AVL Sat 12:30PM","0","0","0%","-","0%"
"*062cw*","Stefan Ortega Moreno","MCI","G","618","FA","@CHE Sun 11:30AM","0","0","6%","349.34","7%"
"*06mn1*","Ibrahim Osman","BHA","F","619","FA","@EVE Sat 10:00AM","0","0","5%","375.08","3%"
"*06mwu*","Riley Owen","BRF","M","620","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
"*06ex1*","Ben Parkinson","NEW","F","621","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*05os9*","Thomas Partey","ARS","M","622","FA","WOL Sat 10:00AM","0","0","8%","324.22","7%"
"*05nuf*","Myles Peart-Harris","BRF","M","623","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
"*06mrz*","Pedro Lima","WOL","D","461","FA","@ARS Sat 10:00AM","0","0","1%","1102.84","1%"
"*05ou8*","Facundo Pellistri","MUN","M","624","FA","FUL Fri 3:00PM","0","0","0%","1170.4","0%"
"*068sf*","Maximo Perrone","MCI","M","625","FA","@CHE Sun 11:30AM","0","0","0%","-","0%"
"*06451*","Cameron Peupion","BHA","M","626","FA","@EVE Sat 10:00AM","0","0","0%","-","0%"
"*06exk*","Ashley Phillips","TOT","D","627","FA","@LEI Mon 3:00PM","0","0","0%","-","0%"
"*05n03*","Kalvin Phillips","MCI","M","628","FA","@CHE Sun 11:30AM","0","0","0%","1169.8","1%"
"*062dl*","Killian Phillips","CRY","M","629","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*04rxe*","Nathaniel Phillips","LIV","D","630","FA","@IPS Sat 7:30AM","0","0","0%","-","0%"
"*05y5b*","Freddie Potts","WHU","M","631","FA","AVL Sat 12:30PM","0","0","0%","-","0%"
"*05rjn*","Jesurun Rak-Sakyi","CRY","M","632","FA","@BRF Sun 9:00AM","0","0","2%","1101.76","1%"
"*04amh*","Aaron Ramsdale","ARS","G","633","FA","WOL Sat 10:00AM","0","0","4%","392.71","4%"
"*06nve*","Luke Rawlings","WOL","M","634","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*062dm*","Jadan Raymond","CRY","M","635","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*05ohc*","Sergio Reguilon","TOT","D","636","FA","@LEI Mon 3:00PM","0","0","24%","159.58","29%"
"*06mry*","Renato Veiga","CHE","M","692","FA","MCI Sun 11:30AM","0","0","0%","-","0%"
"*06mnn*","Chadi Riad","CRY","D","637","FA","@BRF Sun 9:00AM","0","0","0%","1096.8","1%"
"*062op*","Omar Richards","NOT","D","638","FA","BOU Sat 10:00AM","0","0","0%","1181.8","0%"
"*06nyy*","Junior Robinson","WHU","D","639","FA","AVL Sat 12:30PM","0","0","0%","-","0%"
"*062oi*","Kaden Rodney","CRY","M","640","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*06nkh*","Reggie Rose","BRF","G","641","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
"*02m3v*","John Ruddy","NEW","G","642","FA","SOU Sat 10:00AM","0","0","0%","1090.8","0%"
"*062ct*","Carl Rushworth","BHA","G","643","FA","@EVE Sat 10:00AM","0","0","0%","-","0%"
"*06bq0*","Imari Samuels","BHA","D","644","FA","@EVE Sat 10:00AM","0","0","0%","-","0%"
"*04gw7*","Jadon Sancho","MUN","F","645","FA","FUL Fri 3:00PM","0","0","43%","139.68","42%"
"*06nv6*","Trevan Sanusi","NEW","F","646","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*05x9k*","Jeremy Sarmiento","BHA","F","647","FA","@EVE Sat 10:00AM","0","0","2%","1092.6","1%"
"*06635*","Oliver Scarles","WHU","D","648","FA","AVL Sat 12:30PM","0","0","0%","-","0%"
"*05nip*","Dane Scarlett","TOT","F","649","FA","@LEI Mon 3:00PM","0","0","0%","-","0%"
"*06on5*","Leo Shahar","NEW","D","650","W (Tue)","SOU Sat 10:00AM","0","0","0%","-","0%"
"*02lkm*","Jonjo Shelvey","NOT","M","651","FA","BOU Sat 10:00AM","0","0","0%","1097.8","0%"
"*062cj*","Abdallah Sima","BHA","F","652","FA","@EVE Sat 10:00AM","0","0","0%","-","0%"
"*05y5c*","Kamarai Simon-Swyer","WHU","F","653","FA","AVL Sat 12:30PM","0","0","0%","1043.2","0%"
"*05uhn*","Cieran Slicker","IPS","G","654","FA","LIV Sat 7:30AM","0","0","1%","1149.07","0%"
"*06mgi*","Ellis Stanton","NEW","M","656","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06nl8*","Luca Stephenson","LIV","M","657","FA","@IPS Sat 7:30AM","0","0","0%","1052.4","0%"
"*06mgm*","Ross Stewart","SOU","F","658","FA","@NEW Sat 10:00AM","0","0","0%","-","0%"
"*05o6x*","Jakub Stolarczyk","LEI","G","659","FA","TOT Mon 3:00PM","0","0","0%","-","0%"
"*06gx9*","Ronnie Stutter","CHE","F","660","FA","MCI Sun 11:30AM","0","0","0%","-","0%"
"*05r3z*","Sil Swinkels","AVL","D","661","W (Tue)","@WHU Sat 12:30PM","0","0","0%","-","0%"
"*0372y*","Matt Targett","NEW","D","662","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*05m46*","Luke Thomas","LEI","D","663","FA","TOT Mon 3:00PM","0","0","0%","-","0%"
"*06mgg*","Ciaran Thompson","NEW","D","664","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*05749*","Kieran Tierney","ARS","D","665","FA","WOL Sat 10:00AM","0","0","0%","-","0%"
"*06onx*","Jean-Clair Todibo","WHU","D","666","W (Tue)","AVL Sat 12:30PM","0","0","3%","337.28","3%"
"*068yr*","Hamed Traore","BOU","M","668","FA","@NOT Sat 10:00AM","0","0","0%","1171.4","0%"
"*04vy4*","Mark Travers","BOU","G","669","FA","@NOT Sat 10:00AM","0","0","0%","1155.8","1%"
"*0643w*","Ryan Trevitt","BRF","M","670","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
"*062ds*","Matt Turner","NOT","G","671","FA","BOU Sat 10:00AM","0","0","1%","1120.15","2%"
"*06ewz*","Jay Turner-Cooke","NEW","M","672","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*05x9j*","Ed Turns","BHA","D","673","FA","@EVE Sat 10:00AM","0","0","0%","-","0%"
"*05rc7*","Harry Tyrer","EVE","G","674","FA","BHA Sat 10:00AM","0","0","0%","-","0%"
"*06kk4*","Franco Umeh-Chibueze","CRY","F","675","FA","@BRF Sun 9:00AM","0","0","0%","1160.8","0%"
"*06jfe*","Hakon Valdimarsson","BRF","G","676","FA","CRY Sun 9:00AM","0","0","0%","1126.1","1%"
"*05220*","Sepp van den Berg","LIV","D","697","FA","@IPS Sat 7:30AM","0","0","0%","1117.8","0%"
"*06fxg*","Odysseas Vlachodimos","NEW","G","677","FA","SOU Sat 10:00AM","0","0","0%","1152.8","0%"
"*04fjz*","Christian Walton","IPS","G","678","FA","LIV Sat 7:30AM","0","0","0%","-","0%"
"*02t1a*","Danny Ward","LEI","G","679","FA","TOT Mon 3:00PM","0","0","0%","1042.8","0%"
"*05r4z*","Jensen Weir","BHA","M","680","FA","@EVE Sat 10:00AM","0","0","0%","-","0%"
"*05ye4*","Jack Wells-Morrison","CRY","M","681","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*05wqy*","Joe White","NEW","M","682","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*048xn*","Alfie Whiteman","TOT","G","683","FA","@LEI Mon 3:00PM","0","0","0%","-","0%"
"*06ib5*","Matthew Whittingham","WOL","M","684","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*06nbq*","Caleb Wiley","CHE","D","685","FA","MCI Sun 11:30AM","0","0","0%","1108.8","0%"
"*05oji*","Rhys Williams","LIV","D","686","FA","@IPS Sat 7:30AM","0","0","0%","1176.8","0%"
"*05wwd*","Joshua Wilson-Esbrand","MCI","D","687","FA","@CHE Sun 11:30AM","0","0","0%","1169.6","0%"
"*061xw*","Joe Worrall","NOT","D","688","FA","BOU Sat 10:00AM","0","0","0%","-","0%"
"*06avm*","James Wright","AVL","G","689","W (Tue)","@WHU Sat 12:30PM","0","0","0%","-","0%"
"*06msb*","Malick Yalcouye","BHA","M","690","FA","@EVE Sat 10:00AM","0","0","0%","1079.4","0%"
"*06mwv*","Tony Yogane","BRF","M","691","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
